file_urls,image_urls,name,price,url
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,"Ноутбук Apple MacBook Pro 16"" M2 Pro 512GB MNW83 Space Grey",140 999,https://allo.ua/ua/products/notebooks/apple-macbook-pro-16-m2-pro-512gb-mnw83-space-grey.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,140 999,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук Asus X515EA-EJ1413 (90NB0TY1-M23250),18 599,https://allo.ua/ua/products/notebooks/asus-x515ea-ej1413-90nb0ty1-m23250.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук Asus X515EA-EJ1413 (90NB0TY1-M23250),18 599,https://allo.ua/ua/products/notebooks/asus-x515ea-ej1413-90nb0ty1-m23250.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,18 599,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук Acer Aspire 3 A317-53 (NX.AD0EU.00E),30 999,https://allo.ua/ua/products/notebooks/acer-aspire-3-a317-53-nx-ad0eu-00e.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук Acer Aspire 3 A317-53 (NX.AD0EU.00E),30 999,https://allo.ua/ua/products/notebooks/acer-aspire-3-a317-53-nx-ad0eu-00e.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,30 999,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук Acer Aspire 5 A515-57G-57W3 (NX.K9TEU.006),38 999,https://allo.ua/ua/products/notebooks/acer-aspire-5-a515-57g-57w3-nx-k9teu-006.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук Acer Aspire 5 A515-57G-57W3 (NX.K9TEU.006),38 999,https://allo.ua/ua/products/notebooks/acer-aspire-5-a515-57g-57w3-nx-k9teu-006.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
